Property Address,Parcel Number,Inspection Date,Grade,License Status,Expiration Date,Mappable Address
3009 Rutherford Drive,912110407051,03/12/2015,Class B,Issued,10/14/2021,"3009 Rutherford Drive
Urbana, IL
(-88.1633, 40.1155)"
312 South Coler Avenue,922117112013,12/30/2015,Class C,Issued,10/14/2021,"312 South Coler Avenue
Urbana, IL
(-88.2158, 40.11)"
1008 East Water Street,912109378003,03/16/2012,Class B,Issued,,"1008 East Water Street
Urbana, IL
(-88.194, 40.1142)"
3015 Rutherford Drive,912110407048,03/12/2015,Class B,Issued,,"3015 Rutherford Drive
Urbana, IL
(-88.1635, 40.1158)"
306 West California Avenue,922117182010,07/07/2009,Class B,Expired,,"306 West California Avenue
Urbana, IL
(-88.2109, 40.1086)"
1006 Lanore Drive,922116426008,08/06/2014,Class B,Issued,,"1006 Lanore Drive
Urbana, IL
(-88.1863, 40.1043)"
710 1/2 South Race Street,922117261006,06/30/2009,Class B,Expired,,"710 1 2 South Race Street
Urbana, IL
(-88.2084, 40.1068)"
511 West California Avenue,922117177001,04/30/2019,Class A,Issued,10/14/2021,"511 West California Avenue
Urbana, IL
(40.1080627441, -88.2143249512)"
1105 North Carroll Avenue,912109126035,02/12/2018,Class A,Fee Exempt Registration,10/14/2020,"1105 North Carroll Avenue
Urbana, IL
(40.1235656738, -88.1953048706)"
308 East Oregon Street,922117280010,03/04/2020,Class B,Issued,10/14/2021,"308 East Oregon Street
Urbana, IL
(40.1078109741, -88.2038803101)"
701 North Busey Avenue,912108302024,02/06/2014,Class B,Issued,10/14/2021,"701 North Busey Avenue
Urbana, IL
(-88.2173, 40.1184)"
1211 Dublin Street,912107261001,07/12/2011,Class C,Issued,10/14/2019,"1211 Dublin Street
Urbana, IL
(-88.2251, 40.1212)"
705 North Coler Avenue,912108305016,02/12/2014,Class B,Issued,10/14/2021,"705 North Coler Avenue
Urbana, IL
(-88.216, 40.1188)"
1106 North Lincoln Avenue,912108151008,12/08/2011,Class B,Expired,10/14/2021,"1106 North Lincoln Avenue
Urbana, IL
(-88.2191, 40.1223)"
906 1/2 East Washington Street,922116163028,12/10/2012,Class B,Issued,10/14/2021,"906 1 2 East Washington Street
Urbana, IL
(-88.1973, 40.1059)"
606 East Elm Street,922117232006,07/30/2007,Class B,Issued,10/14/2021,"606 East Elm Street
Urbana, IL
(-88.2008, 40.1121)"
512 Griggs Street,912108377005,08/04/2010,Class A,Issued,10/14/2021,"512 Griggs Street
Urbana, IL
(-88.2142, 40.1147)"
907 1/2 East Harding Drive,932121153008,07/08/2013,Class B,Issued,,"907 1 2 East Harding Drive
Urbana, IL
(-88.1962, 40.0936)"
404 South Webber Street,922116108008,04/10/2012,Class B,Issued,10/14/2021,"404 South Webber Street
Urbana, IL
(-88.1989, 40.1098)"
1204 East Mumford Drive,932121326008,06/03/2013,Class B,Expired,10/14/2021,"1204 East Mumford Drive
Urbana, IL
(-88.1933, 40.0909)"
204 West High Street,922117211008,09/25/2019,Class B,Issued,10/14/2021,"204 West High Street
Urbana, IL
(40.110054, -88.20926)"
706 Sunny Lane,912115181010,03/26/2015,Class B,Issued,10/14/2021,"706 Sunny Lane
Urbana, IL
(-88.1722, 40.1067)"
113 South Poplar Street,922116126024,06/29/2012,Class B,Issued,,"113 South Poplar Street
Urbana, IL
(-88.1949, 40.1119)"
1007 South Webber Street,922116301025,02/11/2016,Class A,Issued,10/14/2021,"1007 South Webber Street
Urbana, IL
(-88.1994, 40.104)"
501 East Illinois Street,922117278001,01/05/2010,Class B,Issued,10/14/2020,"501 East Illinois Street
Urbana, IL
(-88.2023, 40.1091)"
910 Crestwood Drive,922116303034,03/08/2016,Class B,Issued,10/14/2021,"910 Crestwood Drive
Urbana, IL
(-88.1969, 40.1034)"
2207 Lantern Hill Drive,912115304013,03/04/2015,Class B,Issued,10/14/2021,"2207 Lantern Hill Drive
Urbana, IL
(-88.1789, 40.1042)"
905 South Race Street,932117327011,06/05/2009,Class A,Issued,10/14/2020,"905 South Race Street
Urbana, IL
(-88.21, 40.1051)"
906 East Harding Drive Unit 302,932121152037,04/17/2017,Class B,Issued,10/14/2021,"906 East Harding Drive
Urbana, IL
(40.094006, -88.196106)"
1402 South Race Street,932117452001,12/21/2009,Class B,Issued,10/14/2018,"1402 South Race Street
Urbana, IL
(-88.2093, 40.1004)"
904 North Broadway Avenue Unit 203,912108257052,02/04/2008,Class B,Issued,10/14/2021,"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
309 South Poplar Street,922116130014,06/20/2012,Class B,Issued,10/14/2021,"309 South Poplar Street
Urbana, IL
(-88.1949, 40.1102)"
810 North Coler Avenue,912108308001,03/19/2014,Class B,Issued,10/14/2021,"810 North Coler Avenue
Urbana, IL
(-88.2154, 40.1199)"
1517 South Curtiss Drive,922116478031,04/13/2018,Class B,Issued,10/14/2021,"1517 South Curtiss Drive
Urbana, IL
(40.099521637, -88.1838531494)"
2501 Prairie Green Drive,912115326008,08/09/2018,Class B,Issued,10/14/2021,"2501 Prairie Green Drive
Urbana, IL
(40.1048965454, -88.1729736328)"
1403 East Pennsylvania Avenue,922116382011,04/12/2016,Class B,Issued,10/14/2021,"1403 East Pennsylvania Avenue
Urbana, IL
(-88.192, 40.099)"
704 Grove Street,922117287004,12/11/2009,Class B,Issued,10/14/2021,"704 Grove Street
Urbana, IL
(-88.201, 40.1072)"
112 South Poplar Street,922116127010,06/20/2012,Class B,Expired,10/14/2021,"112 South Poplar Street
Urbana, IL
(-88.1942, 40.112)"
1905 East Summit Drive,932128229003,12/04/2017,Class B,Issued,10/14/2021,"1905 East Summit Drive
Urbana, IL
(40.08307, -88.18312)"
1003 North Mathews Avenue,912107256012,06/16/2011,Class C,Expired,10/14/2021,"1003 North Mathews Avenue
Urbana, IL
(-88.226, 40.1216)"
702 West Washington Street,922117158016,07/30/2018,Class B,Issued,10/14/2021,"702 West Washington Street
Urbana, IL
(40.1057167053, -88.2161941528)"
605 West Iowa Street,932117306016,02/24/2020,Class B,Issued,10/14/2021,"605 West Iowa Street
Urbana, IL
(40.104366, -88.21508)"
605 South Race Street,922117255007,07/08/2019,Class B,Expired,10/14/2019,"605 South Race Street
Urbana, IL
(40.107887, -88.20913)"
1503 East Florida Avenue,932121201013,11/30/2017,Class B,Issued,10/14/2021,"1503 East Florida Avenue
Urbana, IL
(40.0973854065, -88.1888504028)"
2106 East Rainbow View,912115304024,03/10/2015,Class B,Expired,10/14/2021,"2106 East Rainbow View
Urbana, IL
(-88.1807, 40.1035)"
605 Sunny Lane,912115180029,03/26/2015,Class A,Issued,10/14/2021,"605 Sunny Lane
Urbana, IL
(-88.1729, 40.1073)"
505 South Maple Street,922117277009,01/07/2020,Class B,Issued,10/14/2021,"505 South Maple Street
Urbana, IL
(40.1087875366, -88.2027435303)"
1406 Beech Street,912107251013,07/27/2011,Class B,Expired,10/14/2021,"1406 Beech Street
Urbana, IL
(-88.2279, 40.1224)"
106 Hartle Avenue,922116129023,06/17/2009,Class B,Expired,,"106 Hartle Avenue
Urbana, IL
(-88.1919, 40.1122)"
205 West Pennsylvania Avenue,932117381007,02/25/2020,Class B,Issued,10/14/2021,"205 West Pennsylvania Avenue
Urbana, IL
(40.100433, -88.21027)"
708 Springfield Avenue,912108360005,10/27/2010,Class C,Expired,,"708 Springfield Avenue
Urbana, IL
(-88.217, 40.1129)"
505 East Shurts Street,932120477003,03/02/2017,Class B,Expired,10/14/2020,"505 East Shurts Street
Urbana, IL
(40.085968, -88.20121)"
1114 Austin Drive,922116404009,09/10/2014,Class B,Expired,10/14/2021,"1114 Austin Drive
Urbana, IL
(-88.1872, 40.1026)"
205 West California Avenue,922117255002,11/04/2019,Class B,Issued,10/14/2021,"205 West California Avenue
Urbana, IL
(40.1081390381, -88.2094573975)"
503 West Green Street,922117128005,05/08/2013,Class B,Issued,10/14/2021,"503 West Green Street
Urbana, IL
(-88.2136, 40.1104)"
1615 Ivanhoe Way,922116454018,12/23/2014,Class B,Issued,,"1615 Ivanhoe Way
Urbana, IL
(-88.188, 40.1014)"
