Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
508 Urbana Avenue	922117277004.00	11/9/2009	Class B	Issued		"508 Urbana Avenue
Urbana, IL
(-88.2034, 40.1086)"
1204 East McHenry Street	932121330014.00	3/8/2017	Class B	Issued	10/14/2021	"1204 East McHenry Street
Urbana, IL
(40.088062, -88.19309)"
106 North Busey Avenue	912108360004.00	6/18/2008	Class B	Expired	10/14/2021	"106 North Busey Avenue
Urbana, IL
(-88.2174, 40.113)"
304 South Busey Avenue	922117107010.00	8/21/2007	Class A	Issued	10/14/2021	"304 South Busey Avenue
Urbana, IL
(-88.2174, 40.11)"
1014 Geraldine Avenue	912108278006.00	10/18/2010	Class B	Issued	10/14/2021	"1014 Geraldine Avenue
Urbana, IL
(-88.2025, 40.1231)"
704 Stoughton Street	912108359012.00	5/19/2008	Class B	Issued	10/14/2021	"704 Stoughton Street
Urbana, IL
(-88.2166, 40.1135)"
703 East Washington Street	922116301002.00	7/29/2015	Class B	Issued		"703 East Washington Street
Urbana, IL
(-88.1998, 40.1054)"
1109 East Willard Street	932121380008.00	6/20/2018	Class B	Issued	10/14/2021	"1109 East Willard Street
Urbana, IL
(40.08407, -88.194374)"
406 West Oregon Street	922117179017.00	4/30/2013	Class B	Issued		"406 West Oregon Street
Urbana, IL
(-88.2123, 40.1078)"
1303 Laurel Drive	922116378015.00	4/27/2016	Class B	Issued	10/14/2021	"1303 Laurel Drive
Urbana, IL
(-88.1927, 40.101)"
210 Hartle Avenue	922116129025.00	3/16/2012	Class B	Expired	10/14/2021	"210 Hartle Avenue
Urbana, IL
(-88.1922, 40.1112)"
1306 Eureka Street	912107206017.00	8/9/2011	Class B	Issued	10/14/2021	"1306 Eureka Street
Urbana, IL
(-88.2265, 40.1258)"
3003 Rutherford Drive	912110407054.00	3/12/2015	Class B	Issued	10/14/2021	"3003 Rutherford Drive
Urbana, IL
(-88.1635, 40.1153)"
606 South Race Street	922117256007.00	10/3/2016	Class B	Issued	10/14/2021	"606 South Race Street
Urbana, IL
(-88.2084, 40.1079)"
405 West Green Street	922117133003.00	2/20/2019	Class B	Issued	10/14/2021	"405 West Green Street
Urbana, IL
(40.1104393005, -88.2123565674)"
1204 Hill Street	912107410015.00	7/28/2011	Class C	Issued	10/14/2021	"1204 Hill Street
Urbana, IL
(-88.2246, 40.1196)"
605 South Webber Street	922116156008.00	5/3/2012	Class B	Issued	10/14/2021	"605 South Webber Street
Urbana, IL
(-88.1993, 40.108)"
2010 East Michigan Avenue	922116432054.00	1/23/2015	Class B	Issued	10/14/2021	"2010 East Michigan Avenue
Urbana, IL
(-88.1828, 40.102)"
807 North Mathews Avenue	912107406006.00	8/5/2011	Class B	Issued	10/14/2021	"807 North Mathews Avenue
Urbana, IL
(-88.226, 40.1199)"
1805 South Cottage Grove Avenue	932121107022.00	9/1/2017	Class B	Fee Exempt Registration	10/14/2020	"1805 South Cottage Grove Avenue
Urbana, IL
(40.0955047607, -88.1952514648)"
2405 South Whitson Circle	932121377021.00	4/12/2017	Class C	Expired	10/14/2019	"2405 South Whitson Circle
Urbana, IL
(40.0864257812, -88.1926651001)"
1304 South Montgomery Street	912115390010.00	2/13/2018	Class B	Expired	10/14/2019	"1304 South Montgomery Street
Urbana, IL
(40.1031494141, -88.1735076904)"
805 South Race Street	922117260005.00	7/11/2019	Class A	Issued	10/14/2021	"805 South Race Street
Urbana, IL
(40.10621, -88.20899)"
306 South Orchard Street	922117128007.00	6/2/2008	Class B	Issued	10/14/2021	"306 South Orchard Street
Urbana, IL
(-88.2145, 40.1103)"
1007 Clark Street	912107481017.00	3/23/2009	Class B	Issued	10/14/2021	"1007 Clark Street
Urbana, IL
(-88.2216, 40.1152)"
505 Springfield Avenue	922117110026.00	6/18/2013	Class B	Issued	10/14/2021	"505 Springfield Avenue
Urbana, IL
(-88.2139, 40.1121)"
807 Anderson Street	922117287021.00	11/5/2009	Class B	Expired	10/14/2021	"807 Anderson Street
Urbana, IL
(-88.2005, 40.1061)"
915 Harvey Street	912107280007.00	11/3/2011	Class B	Issued		"915 Harvey Street
Urbana, IL
(-88.2223, 40.1212)"
806 Ohio Street	932117302006.00	6/3/2013	Class C	Issued	10/14/2021	"806 Ohio Street
Urbana, IL
(-88.2183, 40.104)"
306 East Michigan Avenue	932117430015.00	4/26/2007	Class B	Expired	10/14/2021	"306 East Michigan Avenue
Urbana, IL
(-88.2032, 40.1024)"
905 East Harding Drive	932121153007.00	5/3/2017	Class B	Issued	10/14/2021	"905 East Harding Drive
Urbana, IL
(40.093582, -88.19647)"
3009 Rutherford Drive	912110407051.00	3/12/2015	Class B	Issued	10/14/2021	"3009 Rutherford Drive
Urbana, IL
(-88.1633, 40.1155)"
312 South Coler Avenue	922117112013.00	12/30/2015	Class C	Issued	10/14/2021	"312 South Coler Avenue
Urbana, IL
(-88.2158, 40.11)"
1008 East Water Street	912109378003.00	3/16/2012	Class B	Issued		"1008 East Water Street
Urbana, IL
(-88.194, 40.1142)"
3015 Rutherford Drive	912110407048.00	3/12/2015	Class B	Issued		"3015 Rutherford Drive
Urbana, IL
(-88.1635, 40.1158)"
306 West California Avenue	922117182010.00	7/7/2009	Class B	Expired		"306 West California Avenue
Urbana, IL
(-88.2109, 40.1086)"
