Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City
549256,OAK STREET BEACH CAFE,OAK STREET BEACH CAFE/RED MANGO,1358610,Restaurant,Risk 1 (High),5700 S CICERO AVE,CHICAGO
580400,ROTHSCHILD LIQUORS,ROTHSCHILD LIQUORS,21041,Liquor,Risk 3 (Low),425 E 63RD ST,CHICAGO
549354,RUFINO TAMAYO,RUFINO TAMAYO,2040653,School,Risk 1 (High),5135 S CALIFORNIA AVE,CHICAGO
580611,ALEGRA,ALEGRA RESTAURANT & BAR,1997582,Restaurant,Risk 1 (High),5406-5408 W FULLERTON AVE,CHICAGO
580987,SOUTH LOOP CLUB INC,SOUTH LOOP CLUB INC,14622,Restaurant,Risk 1 (High),701 S STATE ST,CHICAGO
577373,KENNEDY HS,KENNEDY HS,46201,School,Risk 1 (High),6325 W 56th ST,CHICAGO
567382,CHICKEN PLANET,CHICKEN PLANET,2079936,Restaurant,Risk 1 (High),177 W VAN BUREN ST,CHICAGO
289314,"TAQUERIA MI LINDO DURANGO, INC","TAQUERIA MI LINDO DURANGO, INC",2008922,Restaurant,Risk 1 (High),9940 S VINCENNES AVE,CHICAGO
567228,TOKYO LUNCH BOXES & CATERING,TOKYO LUNCH BOXES & CATERING,1272246,NA,Risk 1 (High),111 E WACKER DR,CHICAGO
491705,CORNER BAKERY CAFE,CORNER BAKERY CAFE,1649400,Restaurant,Risk 1 (High),123 N WACKER DR,CHICAGO
580173,ILLINOIS SPORTSERVICE INC.,MISSION NACHOS 11 - (#522),14616,KIOSK,Risk 2 (Medium),333 W 35TH ST,CHICAGO
583240,KING WAH RESTAURANT,KING WAH RESTAURANT,1479082,Catering,Risk 1 (High),2223 S WENTWORTH AVE,CHICAGO
579621,79th & RHODES PRODUCE INC.,79th & RHODES PRODUCE INC.,2083645,Grocery Store,Risk 2 (Medium),533 E 79TH ST,CHICAGO
158474,TURNER-DREW ELEMENTARY SCHOOL,TURNER-DREW ELEMENTARY SCHOOL,29041,School,Risk 1 (High),9300 S Princeton (300W),CHICAGO
612265,CHICAGO CUT STEAKHOUSE,CHICAGO CUT STEAKHOUSE,2048672,Restaurant,Risk 1 (High),300 N LA SALLE ST,CHICAGO
569342,ARAMARK at DRAFTFCB,ARAMARK CORPORATION,1300242,Restaurant,Risk 1 (High),101 E ERIE ST,CHICAGO
543418,"Little Hands And Feet Baby Academy, Inc",LITTLE HANDS AND FEET BABY ACADEMY,1969364,Daycare Combo 1586,Risk 1 (High),9522 S VINCENNES AVE,CHICAGO
579928,PAPA ROMEO'S PIZZA,PAPA ROMEO'S PIZZA,1947745,Restaurant,Risk 2 (Medium),6730 N CLARK ST,CHICAGO
580878,Carpenter,Carpenter,22561,School,Risk 1 (High),1250 W Erie ST,CHICAGO
347258,JAYS SNACK,JAYS SNACK,1495613,Restaurant,Risk 2 (Medium),3973 W MADISON ST,CHICAGO
612231,COYOTE UGLY SALOON,COYOTE UGLY SALOON,1892283,Restaurant,Risk 1 (High),316-318 W ERIE ST,CHICAGO
543354,ARNA W. BONTEMPS,Bontemps,25261,School,Risk 1 (High),1241 W 58th St (5800S),CHICAGO
517357,PANDA EXPRESS #1975,PANDA EXPRESS,2084433,Restaurant,Risk 1 (High),1730 W FULLERTON AVE,CHICAGO
517390,RED HEN BREAD,RED HEN BREAD,1356696,Restaurant,Risk 2 (Medium),500 W DIVERSEY PKWY,CHICAGO
543249,LABOR OF LOVE,LABOR OF LOVE,1982024,School,Risk 1 (High),1547 W 95TH ST,CHICAGO
158524,FRED & JACK'S EL GRAN BURRITO,FRED & JACK'S EL GRAN BURRITO,66392,Restaurant,Risk 1 (High),7600 S YALE AVE,CHICAGO
158479,CHURCH'S CHICKEN # 992,CHURCH'S CHICKEN # 992,1273274,Restaurant,Risk 2 (Medium),1956 W 79TH ST,CHICAGO
